name,affiliation
Krzysztof Abramski, Politechnika Wrocławska
Marek Amanowicz, NASK
Hanna Bogucka, Politechnika Poznańska
Wojciech Burakowski, Instytut Łączności/Politechnika Warszawska
Leszek Chybowski, Akademia Morska w Szczecinie
Andrzej Chydziński, Politechnika Śląska
Tadeusz Czachórski, Instytut Informatyki Teoretycznej i Stosowanej PAN
Grzegorz Danilewicz, Politechnika Poznańska
Adam Dąbrowski, Politechnika Poznańska
Andrzej Dąbrowski, Politechnika Warszawska
Andrzej Dobrowolski, Wojskowa Akademia Techniczna
Marek Domański, Politechnika Poznańska
Przemysław Dymarski, Politechnika Warszawska
Andrzej Dziech, Akademia Górniczo-Hutnicza w Krakowie
Piotr Gajewski, Wojskowa Akademia Techniczna
Mariusz Głąbowski, Politechnika Poznańska
Sławomir Hausman, Politechnika Łódzka
Wojciech Kabaciński, Politechnika Poznańska
Sylwester Kaczmarek, Politechnika Gdańska
Andrzej Kasprzak, Politechnika Wrocławska
Ryszard Katulski, Politechnika Gdańska
Jerzy Konorski, Politechnika Gdańska
Stanisław Kozielski, Politechnika Śląska
Jerzy Kubasik, Politechnika Poznańska
Sławomir Kula, Politechnika Warszawska
Jerzy Łopatka, Wojskowa Akademia Techniczna
Krzysztof Malinowski, NASK
Wojciech Mazurczyk, Politechnika Warszawska
Józef Modelski, Politechnika Warszawska
Marek Natkaniec, Akademia Górniczo-Hutnicza w Krakowie
Wojciech Oszywa, Wojskowa Akademia Techniczna
Andrzej R. Pach, Akademia Górniczo-Hutnicza w Krakowie
Zdzisław Papir, Akademia Górniczo-Hutnicza w Krakowie
Mateusz Pasternak , Wojskowa Akademia Techniczna
Michał Pióro, Politechnika Warszawska
Jerzy Siuzdak, Politechnika Warszawska
Władysław Skarbek, Politechnika Warszawska
Bogusław Smólski, Wojskowa Akademia Techniczna
Maciej Stasiak, Politechnika Poznańska
Jacek Stefański, Politechnika Gdańska
Paweł Szczepański, Instytut Łączności/Politechnika Warszawska
Krzysztof Szczypiorski, Politechnika Warszawska
Paweł Szulakiewicz, Politechnika Poznańska
Hubert Trzaska, Politechnika Wrocławska
Tadeusz Więckowski, Politechnika Wrocławska
Marian Wnuk, Wojskowa Akademia Techniczna
Józef Woźniak, Politechnika Gdańska
Tomasz Zieliński, Akademia Górniczo-Hutnicza w Krakowie
Cezary Ziółkowski, Wojskowa Akademia Techniczna
